SUBMISSIONYEARQUARTER,PWSID,EVENT_SCHEDULE_ID,EVENT_END_DATE,EVENT_ACTUAL_DATE,EVENT_COMMENTS_TEXT,EVENT_MILESTONE_CODE,EVENT_REASON_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0010000,1,,03/10/1993,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0010000,2,,03/10/1993,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010001,2,,03/09/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0010001,3,,03/09/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010002,3,,02/22/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0010002,4,,02/22/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010002,COR-GA294362744,10/16/2017,12/06/2017,120 DAYS TO COMPLETE ACTION GWR;SR3-INADEQUATE CASING AND/OR GROUTING-Holes in casing.,SDFF,GW,02/21/2018,12/15/2020
2025Q1,GA0010002,COR-GA294382745,10/16/2017,12/06/2017,120 DAYS TO COMPLETE ACTION GWR;SR1-SOURCE SUSCEPTIBLE TO SANITARY RISK-,SDFF,GW,02/21/2018,12/15/2020
2025Q1,GA0010003,4,,02/26/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0010003,5,,02/26/1994,,DEEM,B1,09/22/2004,09/22/2004
2025Q1,GA0010005,5,,06/30/1994,,DONE,B1,11/15/2005,05/18/2007
2025Q1,GA0010005,LSLI-GA71743,,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,03/20/2025,
2025Q1,GA0010006,6,,02/15/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0010009,7,,04/14/1994,,DEEM,B1,11/15/2005,05/18/2006
2025Q1,GA0010010,8,,03/29/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0010043,9,,04/06/1995,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0010043,COR-GA382813192,07/15/2019,09/19/2019,120 DAYS TO COMPLETE ACTION GWR;SR1-SOURCE SUSCEPTIBLE TO SANITARY RISK-,SDFF,GW,09/20/2019,12/29/2022
2025Q1,GA0010043,COR-GA382823193,06/25/2019,09/19/2019,120 DAYS TO COMPLETE ACTION GWR;ST7-OTHER-,SDFF,GW,09/20/2019,12/29/2022
2025Q1,GA0030000,COR-GA732943625,06/11/2024,07/26/2024,120 DAYS TO COMPLETE ACTION GWR;DS5-VISIBLE LEAKS ARE PRESENT-,SDFF,GW,05/21/2024,03/20/2025
2025Q1,GA0030000,LSLI-GA71291,,10/16/2024,SUBMIT LEAD SERVICE LINE INVENTORY,LSLI,INIT,03/20/2025,
2025Q1,GA0030001,10,,03/04/1994,,DEEM,B1,11/15/2005,05/18/2007
2025Q1,GA0030001,COR-GA432233286,03/11/2020,04/16/2020,120 DAYS TO COMPLETE ACTION GWR;ST7-OTHER-No records (Washout - Inspection Reports) on file indicating that the 3 elevated storage tanks have been properly cleaned and inspected by a tank company.,SDFF,GW,06/25/2020,06/20/2024
2025Q1,GA0030001,COR-GA607373579,03/28/2023,05/31/2023,120 DAYS TO COMPLETE ACTION GWR;SR1-SOURCE SUSCEPTIBLE TO SANITARY RISK-Well #2 - Well pad covered with vegetation and dirt,SDFF,GW,08/10/2023,03/20/2025
