SUBMISSIONYEARQUARTER,PWSID,GEO_ID,AREA_TYPE_CODE,TRIBAL_CODE,STATE_SERVED,ANSI_ENTITY_CODE,ZIP_CODE_SERVED,CITY_SERVED,COUNTY_SERVED,LAST_REPORTED_DATE
2025Q1,GA0010000,9109805,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010000,9109806,CT,,GA,,,BAXLEY,,03/20/2025
2025Q1,GA0010001,9109807,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010001,9109808,CT,,GA,,,SURRENCY,,03/20/2025
2025Q1,GA0010002,9109809,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010002,9109810,CT,,GA,,,BAXLEY,,03/20/2025
2025Q1,GA0010003,9109811,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010005,9109812,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010006,9109813,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010008,8681158,CN,,,001,,,Appling,07/22/1995
2025Q1,GA0010009,9033981,CN,,,001,,,Appling,05/04/2018
2025Q1,GA0010010,8854312,CN,,,001,,,Appling,02/24/2015
2025Q1,GA0010011,9109814,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010012,8681159,CN,,,201,,,Miller,07/22/1995
2025Q1,GA0010017,8681163,CN,,,001,,,Appling,07/22/1995
2025Q1,GA0010012,8681160,CT,,GA,,,BAXLEY GEORGIA,,07/22/1995
2025Q1,GA0010016,8681161,CN,,,001,,,Appling,01/19/2000
2025Q1,GA0010016,8681162,CT,,GA,,,BAXLEY,,01/19/2000
2025Q1,GA0010017,8681164,CT,,GA,,,BAXLEY GEORGIA,,07/22/1995
2025Q1,GA0010019,9109815,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010031,8681165,CN,,,001,,,Appling,07/22/1995
2025Q1,GA0010034,8846206,CN,,,001,,,Appling,05/19/2009
2025Q1,GA0010035,8681166,CN,,,001,,,Appling,07/22/1995
2025Q1,GA0010042,8681167,CN,,,001,,,Appling,07/22/1995
2025Q1,GA0010043,9109816,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010043,9109817,CT,,GA,,,GRAHAM,,03/20/2025
2025Q1,GA0010044,9109818,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010047,9101980,CN,,,001,,,Appling,03/20/2025
2025Q1,GA0010047,9101981,CT,,GA,,,BAXLEY,,03/20/2025
2025Q1,GA0030000,9109819,CN,,,003,,,Atkinson,03/20/2025
2025Q1,GA0030000,9109820,CT,,GA,,,PEARSON,,03/20/2025
2025Q1,GA0030001,9109821,CN,,,003,,,Atkinson,03/20/2025
2025Q1,GA0030001,9109822,CT,,GA,,,WILLACOOCHEE,,03/20/2025
2025Q1,GA0030003,8681168,CN,,,003,,,Atkinson,07/22/1995
2025Q1,GA0030004,9114764,CN,,,003,,,Atkinson,03/20/2025
2025Q1,GA0030005,9114780,CN,,,003,,,Atkinson,03/20/2025
2025Q1,GA0030006,9115704,CN,,,003,,,Atkinson,03/20/2025
2025Q1,GA0030008,9105170,CN,,,003,,,Atkinson,03/20/2025
2025Q1,GA0030008,9105171,CT,,GA,,,AXSON,,03/20/2025
2025Q1,GA0050000,9109823,CN,,,005,,,Bacon,03/20/2025
2025Q1,GA0050000,9109824,CT,,GA,,,ALMA,,03/20/2025
2025Q1,GA0050001,9109825,CN,,,005,,,Bacon,03/20/2025
2025Q1,GA0050002,8681169,CN,,,005,,,Bacon,07/22/1995
2025Q1,GA0050003,8681170,CN,,,005,,,Bacon,01/19/2000
2025Q1,GA0050003,8681171,CT,,GA,,,ALMA,,01/19/2000
2025Q1,GA0050004,8681172,CN,,,005,,,Bacon,07/22/1995
2025Q1,GA0050007,9109826,CN,,,005,,,Bacon,03/20/2025
2025Q1,GA0050008,8682206,CN,,,005,,,Bacon,11/15/2017
2025Q1,GA0050017,8677322,CN,,,005,,,Bacon,07/22/1995
2025Q1,GA0050020,8677323,CN,,,003,,,Atkinson,07/22/1995
2025Q1,GA0050021,9103561,CN,,,005,,,Bacon,03/20/2025
2025Q1,GA0050021,9103562,CT,,GA,,,ALMA,,03/20/2025
2025Q1,GA0050022,9105168,CN,,,005,,,Bacon,03/20/2025
2025Q1,GA0050022,9105169,CT,,GA,,,ALMA,,03/20/2025
2025Q1,GA0050023,9105193,CN,,,005,,,Bacon,03/20/2025
2025Q1,GA0050023,9105194,CT,,GA,,,ALMA,,03/20/2025
2025Q1,GA0070000,9109827,CN,,,007,,,Baker,03/20/2025
2025Q1,GA0070000,9109828,CT,,GA,,,NEWTON,,03/20/2025
2025Q1,GA0070005,9114762,CN,,,007,,,Baker,03/20/2025
2025Q1,GA0070006,9114763,CN,,,007,,,Baker,03/20/2025
2025Q1,GA0090000,9109829,CN,,,009,,,Baldwin,03/20/2025
2025Q1,GA0090001,9109830,CN,,,009,,,Baldwin,03/20/2025
2025Q1,GA0090001,9109831,CT,,GA,,,MILLEDGEVILLE,,03/20/2025
2025Q1,GA0090002,8677324,CN,,,009,,,Baldwin,07/22/1995
2025Q1,GA0090004,8677325,CN,,,009,,,Baldwin,07/22/1995
2025Q1,GA0090006,8677326,CN,,,009,,,Baldwin,07/22/1995
2025Q1,GA0090007,8677327,CN,,,009,,,Baldwin,07/22/1995
2025Q1,GA0090008,8677328,CN,,,009,,,Baldwin,07/22/1995
2025Q1,GA0090010,8677329,CN,,,205,,,Mitchell,07/22/1995
2025Q1,GA0090018,8677330,CN,,,009,,,Baldwin,07/22/1995
2025Q1,GA0090021,8677331,CN,,,005,,,Bacon,07/22/1995
2025Q1,GA0090023,8677332,CN,,,205,,,Mitchell,07/22/1995
2025Q1,GA0090023,8677333,CT,,GA,,,MILLEDGEVILLE G,,07/22/1995
2025Q1,GA0090025,8677334,CN,,,005,,,Bacon,07/22/1995
2025Q1,GA0090025,8677335,CT,,GA,,,MILLEDGEVILLE G,,07/22/1995
2025Q1,GA0090027,8677336,CN,,,009,,,Baldwin,07/22/1995
2025Q1,GA0090041,8677337,CN,,,005,,,Bacon,07/22/1995
2025Q1,GA0090042,9109832,CN,,,009,,,Baldwin,03/20/2025
2025Q1,GA0090043,8677338,CN,,,009,,,Baldwin,07/22/1995
