SUBMISSIONYEARQUARTER,PWSID,SAMPLE_ID,SAMPLING_END_DATE,SAMPLING_START_DATE,RECONCILIATION_ID,SAMPLE_FIRST_REPORTED_DATE,SAMPLE_LAST_REPORTED_DATE,SAR_ID,CONTAMINANT_CODE,RESULT_SIGN_CODE,SAMPLE_MEASURE,UNIT_OF_MEASURE,SAR_FIRST_REPORTED_DATE,SAR_LAST_REPORTED_DATE
2025Q1,GA0510092,GA25428,12/31/2009,01/01/2007,,11/16/2007,12/03/2008,14001676,PB90,,.0025,mg/L,11/16/2007,12/03/2008
2025Q1,GA1850019,GA25642,12/31/2007,01/01/2007,,11/16/2007,02/16/2010,14003550,PB90,,.0025,mg/L,11/16/2007,02/16/2010
2025Q1,GA0510067,GA25372,12/31/2009,01/01/2007,,11/16/2007,12/03/2008,14001659,PB90,,.0012,mg/L,11/16/2007,12/03/2008
2025Q1,GA0510089,GA24831,12/31/2007,01/01/2007,,11/16/2007,08/18/2009,14001672,PB90,,.0026,mg/L,11/16/2007,08/18/2009
2025Q1,GA0510104,GA24817,12/31/2007,01/01/2007,,11/16/2007,02/24/2014,14001699,PB90,,.0025,mg/L,11/16/2007,02/24/2014
2025Q1,GA0510070,GA25207,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001660,PB90,,0,mg/L,11/16/2007,08/26/2008
2025Q1,GA0510100,GA25310,12/31/2007,01/01/2007,,11/16/2007,08/18/2009,14001695,PB90,,.0078,mg/L,11/16/2007,08/18/2009
2025Q1,GA0510054,GA25430,12/31/2009,01/01/2007,,11/16/2007,02/16/2010,14001647,PB90,,.0046,mg/L,11/16/2007,02/16/2010
2025Q1,GA0510055,GA25426,12/31/2009,01/01/2007,,11/16/2007,12/03/2008,14001650,PB90,,.0026,mg/L,11/16/2007,12/03/2008
2025Q1,GA0450000,GA25131,12/31/2009,01/01/2007,,11/16/2007,08/24/2015,14001521,PB90,,.0081,mg/L,11/16/2007,08/24/2015
2025Q1,GA0510031,GA24877,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001608,PB90,,.0025,mg/L,11/16/2007,08/26/2008
2025Q1,GA2910062,GA25569,12/31/2007,01/01/2007,,11/16/2007,03/09/2017,14005355,CU90,,1.7,mg/L,11/16/2007,03/09/2017
2025Q1,GA0490001,GA24795,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001548,PB90,,.004,mg/L,11/16/2007,08/26/2008
2025Q1,GA0510035,GA24368,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001617,PB90,,.0012,mg/L,11/16/2007,08/26/2008
2025Q1,GA1830000,GA24883,12/31/2009,01/01/2007,,11/16/2007,02/24/2014,14003459,PB90,,.0031,mg/L,11/16/2007,02/24/2014
2025Q1,GA1830011,GA25536,12/31/2009,01/01/2007,,11/16/2007,02/24/2014,14003468,PB90,,0,mg/L,11/16/2007,02/24/2014
2025Q1,GA1830041,GA25446,12/31/2007,01/01/2007,,11/16/2007,05/27/2009,14003511,PB90,,.0012,mg/L,11/16/2007,05/27/2009
2025Q1,GA1850015,GA25946,12/31/2007,01/01/2007,,11/16/2007,02/24/2014,14003539,PB90,,0,mg/L,11/16/2007,02/24/2014
2025Q1,GA1790145,GA25450,12/31/2007,01/01/2007,,11/16/2007,05/27/2009,14003450,PB90,,.003,mg/L,11/16/2007,05/27/2009
2025Q1,GA0490000,GA24584,12/31/2009,01/01/2007,,11/16/2007,03/09/2017,14001547,PB90,,.0066,mg/L,11/16/2007,03/09/2017
2025Q1,GA1830002,GA24488,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14003460,PB90,,.0012,mg/L,11/16/2007,08/26/2008
2025Q1,GA1830017,GA25045,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14003472,PB90,,.0071,mg/L,11/16/2007,08/26/2008
2025Q1,GA1830027,GA25073,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14003488,PB90,,0,mg/L,11/16/2007,08/26/2008
2025Q1,GA3110098,GA24918,12/31/2009,01/01/2007,,11/16/2007,12/03/2008,14005362,CU90,,2.65,mg/L,11/16/2007,12/03/2008
2025Q1,GA1850000,GA24963,12/31/2009,01/01/2007,,11/16/2007,08/18/2011,14003517,PB90,,.0062,mg/L,11/16/2007,08/18/2011
2025Q1,GA0450005,GA25219,12/31/2009,01/01/2007,,11/16/2007,03/09/2017,14001530,PB90,,.0041,mg/L,11/16/2007,03/09/2017
2025Q1,GA1790140,GA25476,12/31/2007,01/01/2007,,11/16/2007,02/24/2014,14003446,PB90,,0,mg/L,11/16/2007,02/24/2014
2025Q1,GA0510015,GA24504,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001583,PB90,,0,mg/L,11/16/2007,08/26/2008
2025Q1,GA1790135,GA25500,12/31/2007,01/01/2007,,11/16/2007,08/18/2009,14003443,PB90,,.0029,mg/L,11/16/2007,08/18/2009
2025Q1,GA1810033,GA25420,12/31/2007,01/01/2007,,11/16/2007,02/24/2014,14003453,PB90,,.0043,mg/L,11/16/2007,02/24/2014
2025Q1,GA0510024,GA24819,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001596,PB90,,.003,mg/L,11/16/2007,08/26/2008
2025Q1,GA2850131,GA24980,12/31/2007,01/01/2007,,11/16/2007,03/09/2017,14005351,CU90,,3.23,mg/L,11/16/2007,03/09/2017
2025Q1,GA0510017,GA25540,12/31/2009,01/01/2007,,11/16/2007,12/03/2008,14001586,PB90,,.0015,mg/L,11/16/2007,12/03/2008
2025Q1,GA1810038,GA25350,12/31/2009,01/01/2007,,11/16/2007,05/17/2023,14003454,PB90,,.0025,mg/L,11/16/2007,05/17/2023
2025Q1,GA0510034,GA24618,12/31/2009,01/01/2007,,11/16/2007,11/29/2010,14001616,PB90,,.0025,mg/L,11/16/2007,11/29/2010
2025Q1,GA1830034,GA25900,12/31/2007,01/01/2007,,11/16/2007,08/27/2010,14003502,PB90,,.004,mg/L,11/16/2007,08/27/2010
2025Q1,GA0590070,GA25928,12/31/2007,01/01/2007,,11/16/2007,08/18/2011,14001873,PB90,,0,mg/L,11/16/2007,08/18/2011
2025Q1,GA0590055,GA24772,12/31/2007,01/01/2007,,11/16/2007,02/24/2014,14001870,PB90,,.0012,mg/L,11/16/2007,02/24/2014
2025Q1,GA0650013,GA24534,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001895,PB90,,.0012,mg/L,11/16/2007,08/26/2008
2025Q1,GA1870000,GA24498,12/31/2009,01/01/2007,,11/16/2007,08/18/2011,14003690,PB90,,.0025,mg/L,11/16/2007,08/18/2011
2025Q1,GA1870005,GA25324,12/31/2007,01/01/2007,,11/16/2007,05/27/2009,14003693,PB90,,0,mg/L,11/16/2007,05/27/2009
2025Q1,GA1870012,GA25330,12/31/2009,01/01/2007,,11/16/2007,12/03/2008,14003694,PB90,,.0014,mg/L,11/16/2007,12/03/2008
2025Q1,GA1870048,GA24446,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14003696,PB90,,.0025,mg/L,11/16/2007,08/26/2008
2025Q1,GA1850127,GA24965,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14003630,PB90,,.0012,mg/L,11/16/2007,08/26/2008
2025Q1,GA1850061,GA25606,12/31/2007,01/01/2007,,11/16/2007,08/27/2010,14003590,PB90,,0,mg/L,11/16/2007,08/27/2010
2025Q1,GA1870058,GA25712,12/31/2007,01/01/2007,,11/16/2007,08/18/2009,14003706,PB90,,.0025,mg/L,11/16/2007,08/18/2009
2025Q1,GA1850067,GA25968,12/31/2007,01/01/2007,,11/16/2007,05/27/2009,14003597,PB90,,0,mg/L,11/16/2007,05/27/2009
2025Q1,GA1910000,GA25922,12/31/2009,01/01/2007,,11/16/2007,12/03/2008,14003723,PB90,,.0025,mg/L,11/16/2007,12/03/2008
2025Q1,GA1910003,GA24823,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14003724,PB90,,0,mg/L,11/16/2007,08/26/2008
2025Q1,GA1910008,GA25408,12/31/2007,01/01/2007,,11/16/2007,08/18/2009,14003728,PB90,,.0025,mg/L,11/16/2007,08/18/2009
2025Q1,GA1910010,GA25964,12/31/2007,01/01/2007,,11/16/2007,08/18/2011,14003733,PB90,,0,mg/L,11/16/2007,08/18/2011
2025Q1,GA1910011,GA25925,12/31/2007,01/01/2007,,11/16/2007,02/24/2014,14003737,PB90,,0,mg/L,11/16/2007,02/24/2014
2025Q1,GA0510144,GA24999,12/31/2009,01/01/2007,,11/16/2007,08/26/2008,14001765,PB90,,0,mg/L,11/16/2007,08/26/2008
