SUBMISSIONYEARQUARTER,PWSID,PN_VIOLATION_ID,RELATED_VIOLATION_ID,COMPL_PER_BEGIN_DATE,COMPL_PER_END_DATE,NON_COMPL_PER_BEGIN_DATE,NON_COMPL_PER_END_DATE,VIOLATION_CODE,CONTAMINANT_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0510000,11619,11617,09/01/2019,09/30/2019,09/01/2019,09/30/2019,1A,8000,11/12/2019,06/27/2023
2025Q1,GA2790015,42541,41410,04/01/2009,06/30/2009,04/01/2009,06/30/2009,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,41510,07/01/2009,09/30/2009,07/01/2009,09/30/2009,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,41610,10/01/2009,12/31/2009,10/01/2009,12/31/2009,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,41710,01/01/2010,03/31/2010,01/01/2010,03/31/2010,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42212,07/01/2011,09/30/2011,07/01/2011,09/30/2011,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42412,10/01/2011,12/31/2011,10/01/2011,12/31/2011,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42512,10/01/2011,12/31/2011,10/01/2011,12/31/2011,02,4000,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42523,07/01/2014,09/30/2014,07/01/2014,09/30/2014,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42517,10/01/2013,12/31/2013,10/01/2013,12/31/2013,02,4000,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42518,01/01/2014,03/31/2014,01/01/2014,03/31/2014,02,4000,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42519,01/01/2014,03/31/2014,01/01/2014,03/31/2014,02,4010,05/04/2018,03/17/2021
2025Q1,GA2790015,42541,42520,04/01/2014,06/30/2014,04/01/2014,06/30/2014,02,4000,05/04/2018,03/17/2021
