"VALUE_TYPE","VALUE_CODE","VALUE_DESCRIPTION"
"REFERENCE_POINT_CODE","012","ATMOSPHERIC EMISSIONS TREATMENT UNIT"
"REFERENCE_POINT_CODE","013","SOLID WASTE TREATMENT/DISPOSAL UNIT"
"PWS_TYPE_CODE","CWS","Community water system"
"PWS_TYPE_CODE","NTNCWS","Non-Transient non-community system"
"PWS_TYPE_CODE","NP","Non-Public"
"PWS_TYPE_CODE","TNCWS","Transient non-community system"
"PWS_TYPE_CODE","U","Unknown"
"PRIMARY_SOURCE_CODE","GW","Ground water"
"PRIMARY_SOURCE_CODE","GWP","Ground water purchased"
"PRIMARY_SOURCE_CODE","SW","Surface water"
"PRIMARY_SOURCE_CODE","SWP","Surface water purchased"
"PRIMARY_SOURCE_CODE","GU","Groundwater under influence of surface water"
"PRIMARY_SOURCE_CODE","GUP","Purchased ground water under influence of surface water source"
"REFERENCE_POINT_CODE","001","Unknown"
"REFERENCE_POINT_CODE","014","SOLID WASTE STORAGE AREA"
"REFERENCE_POINT_CODE","015","LOADING FACILITY"
"REFERENCE_POINT_CODE","016","LOADING AREA CENTROID"
"REFERENCE_POINT_CODE","017","PROCESS UNIT"
"REFERENCE_POINT_CODE","018","PROCESS UNIT AREA CENTROID"
"REFERENCE_POINT_CODE","019","ADMINISTRATIVE BUILDING"
"REFERENCE_POINT_CODE","020","FACILITY CENTROID"
"REFERENCE_POINT_CODE","021","NE CORNER OF LAND PARCEL"
"REFERENCE_POINT_CODE","022","SE CORNER OF LAND PARCEL"
"REFERENCE_POINT_CODE","023","NW CORNER OF LAND PARCEL"
"REFERENCE_POINT_CODE","024","SW CORNER OF LAND PARCEL"
"REFERENCE_POINT_CODE","025","CENTER OF FACILITY"
"REFERENCE_POINT_CODE","026","WELL"
"REFERENCE_POINT_CODE","027","WELL PROTECTION AREA"
"REFERENCE_POINT_CODE","028","WATER MONITORING STATION"
"REFERENCE_POINT_CODE","029","AIR MONITORING STATION"
"REFERENCE_POINT_CODE","030","INTAKE PIPE"
"REFERENCE_POINT_CODE","101","Entrance point of a facility or station"
"REFERENCE_POINT_CODE","102","Center of a facility or station"
"REFERENCE_POINT_CODE","103","Facility/monitoring site boundary point"
"REFERENCE_POINT_CODE","104","Point where substance enters facility/monitoring site (can be inside or outside of a facility/site)"
"CONTAMINANT_CODE","1064","CONDUCTIVITY @ 25 C UMHOS/CM"
