SUBMISSIONYEARQUARTER,PWSID,SERVICE_AREA_TYPE_CODE,IS_PRIMARY_SERVICE_AREA_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0010000,MU,Y,,03/20/2025
2025Q1,GA0010001,MU,Y,,03/20/2025
2025Q1,GA0010002,SC,Y,,03/20/2025
2025Q1,GA0010003,SC,Y,,03/20/2025
2025Q1,GA0010005,IA,Y,,03/20/2025
2025Q1,GA0010006,OR,Y,,03/20/2025
2025Q1,GA0010008,MH,Y,,07/22/1995
2025Q1,GA0010009,MP,Y,,05/04/2018
2025Q1,GA0010010,MP,Y,,02/24/2015
2025Q1,GA0010011,PA,Y,,03/20/2025
2025Q1,GA0010012,OA,,,07/22/1995
2025Q1,GA0010016,MP,Y,,03/14/2002
2025Q1,GA0010017,RA,,,07/22/1995
2025Q1,GA0010019,OT,Y,,03/20/2025
2025Q1,GA0010034,HM,Y,,05/19/2009
2025Q1,GA0010035,OA,,,07/22/1995
2025Q1,GA0010042,IA,Y,,07/22/1995
2025Q1,GA0010043,OR,Y,,03/20/2025
2025Q1,GA0010044,RS,Y,,03/20/2025
2025Q1,GA0010047,OT,Y,02/21/2018,03/20/2025
2025Q1,GA0030000,MU,Y,,03/20/2025
2025Q1,GA0030001,MU,Y,,03/20/2025
2025Q1,GA0030003,IA,Y,,07/22/1995
2025Q1,GA0030004,SU,Y,,03/20/2025
2025Q1,GA0030005,SU,Y,,03/20/2025
2025Q1,GA0030006,MH,Y,,03/20/2025
2025Q1,GA0030008,RE,Y,02/28/2024,03/20/2025
2025Q1,GA0050000,MU,Y,,03/20/2025
2025Q1,GA0050001,IA,Y,,03/20/2025
2025Q1,GA0050003,IA,Y,,09/30/2005
2025Q1,GA0050004,IA,Y,,07/22/1995
2025Q1,GA0050007,SU,Y,,03/20/2025
2025Q1,GA0050008,MP,Y,,11/15/2017
2025Q1,GA0050017,RA,,,07/22/1995
2025Q1,GA0050020,OA,,,07/22/1995
2025Q1,GA0050021,RE,Y,02/15/2023,03/20/2025
2025Q1,GA0050022,RE,Y,08/10/2023,03/20/2025
2025Q1,GA0050023,RE,Y,02/11/2025,03/20/2025
2025Q1,GA0070000,MU,Y,,03/20/2025
2025Q1,GA0070005,ON,Y,,03/20/2025
2025Q1,GA0070006,OR,Y,,03/20/2025
2025Q1,GA0090000,RA,Y,,03/20/2025
2025Q1,GA0090001,MU,Y,,03/20/2025
2025Q1,GA0090002,RA,Y,,07/22/1995
2025Q1,GA0090004,MH,Y,,07/22/1995
2025Q1,GA0090006,OR,Y,,07/22/1995
2025Q1,GA0090007,OT,Y,,07/22/1995
2025Q1,GA0090018,MH,Y,,07/22/1995
2025Q1,GA0090023,RS,,,07/22/1995
2025Q1,GA0090025,OA,,,07/22/1995
2025Q1,GA0090041,RS,,,07/22/1995
2025Q1,GA0090042,SU,Y,,03/20/2025
2025Q1,GA0090043,RA,Y,,07/22/1995
2025Q1,GA0090045,SU,Y,,11/15/2017
2025Q1,GA0090046,SU,Y,,03/20/2025
2025Q1,GA0090047,SU,Y,,03/20/2025
2025Q1,GA0090048,SU,Y,,03/17/2021
2025Q1,GA0090049,SU,Y,,05/18/2007
2025Q1,GA0110000,RA,Y,,03/20/2025
2025Q1,GA0110001,MU,Y,,03/20/2025
2025Q1,GA0110002,IA,Y,,07/22/1995
2025Q1,GA0110003,RS,Y,,07/22/1995
2025Q1,GA0110008,SS,,,07/22/1995
2025Q1,GA0110013,RS,,,07/22/1995
2025Q1,GA0110015,RS,Y,,07/22/1995
2025Q1,GA0110016,IA,Y,,07/22/1995
2025Q1,GA0110017,RS,Y,,07/22/1995
2025Q1,GA0110018,IA,Y,,05/15/2004
