SUBMISSIONYEARQUARTER,PWSID,VISIT_ID,VISIT_DATE,AGENCY_TYPE_CODE,VISIT_REASON_CODE,MANAGEMENT_OPS_EVAL_CODE,SOURCE_WATER_EVAL_CODE,SECURITY_EVAL_CODE,PUMPS_EVAL_CODE,OTHER_EVAL_CODE,COMPLIANCE_EVAL_CODE,DATA_VERIFICATION_EVAL_CODE,TREATMENT_EVAL_CODE,FINISHED_WATER_STOR_EVAL_CODE,DISTRIBUTION_EVAL_CODE,FINANCIAL_EVAL_CODE,VISIT_COMMENTS,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0010000,6,06/08/2023,ST,SNSV,N,M,N,Z,Z,N,N,N,N,R,X,,08/10/2023,03/20/2025
2025Q1,GA0010002,4,12/15/2017,ST,SSVF,N,N,X,X,Z,X,X,X,X,X,X,,02/21/2018,12/15/2020
2025Q1,GA0010005,3,09/29/2015,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,Z,,11/19/2015,03/12/2020
2025Q1,GA0010011,3,09/29/2015,ST,SNSV,N,N,N,Z,Z,N,N,N,N,N,Z,,11/19/2015,03/20/2025
2025Q1,GA0010019,1,10/10/2007,ST,SNSV,S,N,,N,X,S,N,N,N,N,,,02/25/2008,11/29/2010
2025Q1,GA0010043,2,11/16/2006,ST,SNSV,R,R,,N,X,N,N,M,N,N,,,02/13/2007,11/16/2009
2025Q1,GA0010043,3,12/11/2009,ST,SNSV,N,N,,N,N,N,N,N,N,N,,,02/16/2010,06/18/2018
2025Q1,GA0030000,1,10/17/2005,ST,SNSV,N,M,,N,N,N,N,M,N,N,,,02/16/2006,12/03/2008
2025Q1,GA0030000,2,11/21/2006,ST,SNSV,R,R,,N,N,N,M,M,R,X,,,02/13/2007,02/16/2010
2025Q1,GA0030000,3,07/06/2012,ST,SNSV,Z,N,Z,Z,Z,Z,Z,N,N,N,Z,,05/14/2013,03/12/2020
2025Q1,GA0030000,5,05/20/2021,ST,SNSV,N,M,N,Z,Z,N,M,M,N,M,X,,08/09/2021,06/20/2024
2025Q1,GA0030001,3,06/29/2012,ST,SNSV,Z,N,Z,Z,Z,Z,Z,N,N,N,Z,,05/14/2013,03/12/2020
2025Q1,GA0030004,2,07/17/2012,ST,SNSV,Z,N,Z,Z,Z,Z,Z,M,N,N,Z,,05/14/2013,09/28/2022
2025Q1,GA0030006,2,10/30/2007,ST,SNSV,M,M,,N,R,M,M,M,R,M,,,02/25/2008,03/12/2020
2025Q1,GA0050000,2,12/15/2008,ST,SNSV,S,N,,N,X,N,N,N,N,N,,,03/13/2009,03/21/2012
2025Q1,GA0050001,3,07/18/2014,ST,SNSV,N,N,N,N,Z,N,N,N,R,N,X,"Elevated storage tank was installed in 1969.  Last storage tank inspection performed by subcontractor (SE Diving Services) on January 24, 2014.  Access to the top of the tank is hampered by a large wasp nest (see attached photo).  EPD recommends destroying the wasp nest to gain ongoing access to the elevated portion of the structure when needed.",02/16/2015,03/12/2020
2025Q1,GA0050008,1,04/04/2006,ST,SNSV,N,N,,N,N,N,N,N,N,N,,,08/22/2006,06/18/2018
2025Q1,GA0050008,2,08/31/2010,ST,SNSV,N,N,N,N,Z,N,N,N,N,N,X,,08/18/2011,09/21/2020
2025Q1,GA0070000,#1,09/10/2002,,SNSV,,,,,,,,,,,,,09/13/2003,
2025Q1,GA0070005,3,11/19/2014,ST,SNSV,N,R,N,Z,Z,N,R,N,R,R,X,,02/16/2015,12/18/2024
2025Q1,GA0070005,4,08/14/2019,SA,SNSV,N,N,N,Z,Z,N,R,N,N,N,X,,09/20/2019,03/20/2025
2025Q1,GA0070006,2,12/08/2004,ST,SNSV,N,N,,N,X,N,N,N,M,M,,,11/15/2005,06/18/2018
2025Q1,GA0070006,3,04/15/2009,ST,SNSV,R,N,,N,X,N,N,N,N,N,,,08/20/2009,03/12/2020
2025Q1,GA0010000,1,02/17/2004,ST,SNSV,N,N,,N,X,N,N,N,R,N,,,11/15/2005,02/13/2007
2025Q1,GA0010003,1,08/17/2003,ST,SNSV,N,N,,N,X,N,N,N,N,N,,,11/15/2005,08/29/2007
2025Q1,GA0010005,1,07/07/2005,ST,SNSV,N,M,,N,X,N,N,R,N,N,,,11/15/2005,08/25/2008
2025Q1,GA0010006,1,01/05/2005,ST,SNSV,R,N,,N,X,N,R,R,N,R,,,11/15/2005,02/25/2008
2025Q1,GA0010010,1,04/17/2003,ST,SNSV,X,R,,X,X,X,M,M,X,M,,,11/15/2005,06/18/2018
2025Q1,GA0010000,2,01/16/2008,ST,SNSV,N,R,,N,X,N,N,N,N,N,,,05/28/2008,02/18/2011
2025Q1,GA0010009,1,05/10/2006,ST,SNSV,N,R,,X,X,N,N,N,R,N,,,05/28/2008,06/18/2018
2025Q1,GA0050007,2,01/07/2008,ST,SNSV,M,N,,X,X,M,M,N,N,N,,,05/28/2008,02/18/2011
2025Q1,GA0010000,3,09/27/2013,ST,SNSV,N,N,N,Z,Z,N,N,N,N,N,X,,06/29/2015,03/12/2020
